unicode,emoji,cldr,cldr_link
U+1F939 U+1F3FD U+200D U+2642 U+FE0F,🤹🏽‍♂️,man juggling: medium skin tone,man-juggling-medium-skin-tone
U+1F939 U+1F3FE U+200D U+2642 U+FE0F,🤹🏾‍♂️,man juggling: medium-dark skin tone,man-juggling-medium-dark-skin-tone
U+1F939 U+1F3FF U+200D U+2642 U+FE0F,🤹🏿‍♂️,man juggling: dark skin tone,man-juggling-dark-skin-tone
U+1F939 U+1F3FB U+200D U+2640 U+FE0F,🤹🏻‍♀️,woman juggling: light skin tone,woman-juggling-light-skin-tone
U+1F939 U+1F3FC U+200D U+2640 U+FE0F,🤹🏼‍♀️,woman juggling: medium-light skin tone,woman-juggling-medium-light-skin-tone
U+1F939 U+1F3FD U+200D U+2640 U+FE0F,🤹🏽‍♀️,woman juggling: medium skin tone,woman-juggling-medium-skin-tone
U+1F939 U+1F3FE U+200D U+2640 U+FE0F,🤹🏾‍♀️,woman juggling: medium-dark skin tone,woman-juggling-medium-dark-skin-tone
U+1F939 U+1F3FF U+200D U+2640 U+FE0F,🤹🏿‍♀️,woman juggling: dark skin tone,woman-juggling-dark-skin-tone
U+1F9D8 U+1F3FB,🧘🏻,person in lotus position: light skin tone,person-in-lotus-position-light-skin-tone
U+1F9D8 U+1F3FC,🧘🏼,person in lotus position: medium-light skin tone,person-in-lotus-position-medium-light-skin-tone
U+1F9D8 U+1F3FD,🧘🏽,person in lotus position: medium skin tone,person-in-lotus-position-medium-skin-tone
U+1F9D8 U+1F3FE,🧘🏾,person in lotus position: medium-dark skin tone,person-in-lotus-position-medium-dark-skin-tone
U+1F9D8 U+1F3FF,🧘🏿,person in lotus position: dark skin tone,person-in-lotus-position-dark-skin-tone
U+1F9D8 U+1F3FB U+200D U+2642 U+FE0F,🧘🏻‍♂️,man in lotus position: light skin tone,man-in-lotus-position-light-skin-tone
U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F,🧘🏼‍♂️,man in lotus position: medium-light skin tone,man-in-lotus-position-medium-light-skin-tone
U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F,🧘🏽‍♂️,man in lotus position: medium skin tone,man-in-lotus-position-medium-skin-tone
U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F,🧘🏾‍♂️,man in lotus position: medium-dark skin tone,man-in-lotus-position-medium-dark-skin-tone
U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F,🧘🏿‍♂️,man in lotus position: dark skin tone,man-in-lotus-position-dark-skin-tone
U+1F9D8 U+1F3FB U+200D U+2640 U+FE0F,🧘🏻‍♀️,woman in lotus position: light skin tone,woman-in-lotus-position-light-skin-tone
U+1F9D8 U+1F3FC U+200D U+2640 U+FE0F,🧘🏼‍♀️,woman in lotus position: medium-light skin tone,woman-in-lotus-position-medium-light-skin-tone
U+1F9D8 U+1F3FD U+200D U+2640 U+FE0F,🧘🏽‍♀️,woman in lotus position: medium skin tone,woman-in-lotus-position-medium-skin-tone
U+1F9D8 U+1F3FE U+200D U+2640 U+FE0F,🧘🏾‍♀️,woman in lotus position: medium-dark skin tone,woman-in-lotus-position-medium-dark-skin-tone
U+1F9D8 U+1F3FF U+200D U+2640 U+FE0F,🧘🏿‍♀️,woman in lotus position: dark skin tone,woman-in-lotus-position-dark-skin-tone
U+1F6C0 U+1F3FB,🛀🏻,person taking bath: light skin tone,person-taking-bath-light-skin-tone
U+1F6C0 U+1F3FC,🛀🏼,person taking bath: medium-light skin tone,person-taking-bath-medium-light-skin-tone
U+1F6C0 U+1F3FD,🛀🏽,person taking bath: medium skin tone,person-taking-bath-medium-skin-tone
U+1F6C0 U+1F3FE,🛀🏾,person taking bath: medium-dark skin tone,person-taking-bath-medium-dark-skin-tone
U+1F6C0 U+1F3FF,🛀🏿,person taking bath: dark skin tone,person-taking-bath-dark-skin-tone
U+1F6CC U+1F3FB,🛌🏻,person in bed: light skin tone,person-in-bed-light-skin-tone
U+1F6CC U+1F3FC,🛌🏼,person in bed: medium-light skin tone,person-in-bed-medium-light-skin-tone
U+1F6CC U+1F3FD,🛌🏽,person in bed: medium skin tone,person-in-bed-medium-skin-tone
U+1F6CC U+1F3FE,🛌🏾,person in bed: medium-dark skin tone,person-in-bed-medium-dark-skin-tone
U+1F6CC U+1F3FF,🛌🏿,person in bed: dark skin tone,person-in-bed-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,🧑🏻‍🤝‍🧑🏻,people holding hands: light skin tone,people-holding-hands-light-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,🧑🏻‍🤝‍🧑🏼,"people holding hands: light skin tone, medium-light skin tone",people-holding-hands-light-skin-tone-medium-light-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,🧑🏻‍🤝‍🧑🏽,"people holding hands: light skin tone, medium skin tone",people-holding-hands-light-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FE,🧑🏻‍🤝‍🧑🏾,"people holding hands: light skin tone, medium-dark skin tone",people-holding-hands-light-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,🧑🏻‍🤝‍🧑🏿,"people holding hands: light skin tone, dark skin tone",people-holding-hands-light-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,🧑🏼‍🤝‍🧑🏻,"people holding hands: medium-light skin tone, light skin tone",people-holding-hands-medium-light-skin-tone-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,🧑🏼‍🤝‍🧑🏼,people holding hands: medium-light skin tone,people-holding-hands-medium-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,🧑🏼‍🤝‍🧑🏽,"people holding hands: medium-light skin tone, medium skin tone",people-holding-hands-medium-light-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FE,🧑🏼‍🤝‍🧑🏾,"people holding hands: medium-light skin tone, medium-dark skin tone",people-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FC U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,🧑🏼‍🤝‍🧑🏿,"people holding hands: medium-light skin tone, dark skin tone",people-holding-hands-medium-light-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,🧑🏽‍🤝‍🧑🏻,"people holding hands: medium skin tone, light skin tone",people-holding-hands-medium-skin-tone-light-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,🧑🏽‍🤝‍🧑🏼,"people holding hands: medium skin tone, medium-light skin tone",people-holding-hands-medium-skin-tone-medium-light-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,🧑🏽‍🤝‍🧑🏽,people holding hands: medium skin tone,people-holding-hands-medium-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FE,🧑🏽‍🤝‍🧑🏾,"people holding hands: medium skin tone, medium-dark skin tone",people-holding-hands-medium-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,🧑🏽‍🤝‍🧑🏿,"people holding hands: medium skin tone, dark skin tone",people-holding-hands-medium-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,🧑🏾‍🤝‍🧑🏻,"people holding hands: medium-dark skin tone, light skin tone",people-holding-hands-medium-dark-skin-tone-light-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,🧑🏾‍🤝‍🧑🏼,"people holding hands: medium-dark skin tone, medium-light skin tone",people-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,🧑🏾‍🤝‍🧑🏽,"people holding hands: medium-dark skin tone, medium skin tone",people-holding-hands-medium-dark-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FE,🧑🏾‍🤝‍🧑🏾,people holding hands: medium-dark skin tone,people-holding-hands-medium-dark-skin-tone
U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,🧑🏾‍🤝‍🧑🏿,"people holding hands: medium-dark skin tone, dark skin tone",people-holding-hands-medium-dark-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,🧑🏿‍🤝‍🧑🏻,"people holding hands: dark skin tone, light skin tone",people-holding-hands-dark-skin-tone-light-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FC,🧑🏿‍🤝‍🧑🏼,"people holding hands: dark skin tone, medium-light skin tone",people-holding-hands-dark-skin-tone-medium-light-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FD,🧑🏿‍🤝‍🧑🏽,"people holding hands: dark skin tone, medium skin tone",people-holding-hands-dark-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FE,🧑🏿‍🤝‍🧑🏾,"people holding hands: dark skin tone, medium-dark skin tone",people-holding-hands-dark-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FF,🧑🏿‍🤝‍🧑🏿,people holding hands: dark skin tone,people-holding-hands-dark-skin-tone
U+1F46D U+1F3FB,👭🏻,women holding hands: light skin tone,women-holding-hands-light-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F469 U+1F3FC,👩🏻‍🤝‍👩🏼,"women holding hands: light skin tone, medium-light skin tone",women-holding-hands-light-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F469 U+1F3FD,👩🏻‍🤝‍👩🏽,"women holding hands: light skin tone, medium skin tone",women-holding-hands-light-skin-tone-medium-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F469 U+1F3FE,👩🏻‍🤝‍👩🏾,"women holding hands: light skin tone, medium-dark skin tone",women-holding-hands-light-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F469 U+1F3FF,👩🏻‍🤝‍👩🏿,"women holding hands: light skin tone, dark skin tone",women-holding-hands-light-skin-tone-dark-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FB,👩🏼‍🤝‍👩🏻,"women holding hands: medium-light skin tone, light skin tone",women-holding-hands-medium-light-skin-tone-light-skin-tone
U+1F46D U+1F3FC,👭🏼,women holding hands: medium-light skin tone,women-holding-hands-medium-light-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FD,👩🏼‍🤝‍👩🏽,"women holding hands: medium-light skin tone, medium skin tone",women-holding-hands-medium-light-skin-tone-medium-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FE,👩🏼‍🤝‍👩🏾,"women holding hands: medium-light skin tone, medium-dark skin tone",women-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F469 U+1F3FF,👩🏼‍🤝‍👩🏿,"women holding hands: medium-light skin tone, dark skin tone",women-holding-hands-medium-light-skin-tone-dark-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FB,👩🏽‍🤝‍👩🏻,"women holding hands: medium skin tone, light skin tone",women-holding-hands-medium-skin-tone-light-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FC,👩🏽‍🤝‍👩🏼,"women holding hands: medium skin tone, medium-light skin tone",women-holding-hands-medium-skin-tone-medium-light-skin-tone
U+1F46D U+1F3FD,👭🏽,women holding hands: medium skin tone,women-holding-hands-medium-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FE,👩🏽‍🤝‍👩🏾,"women holding hands: medium skin tone, medium-dark skin tone",women-holding-hands-medium-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F469 U+1F3FF,👩🏽‍🤝‍👩🏿,"women holding hands: medium skin tone, dark skin tone",women-holding-hands-medium-skin-tone-dark-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FB,👩🏾‍🤝‍👩🏻,"women holding hands: medium-dark skin tone, light skin tone",women-holding-hands-medium-dark-skin-tone-light-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FC,👩🏾‍🤝‍👩🏼,"women holding hands: medium-dark skin tone, medium-light skin tone",women-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FD,👩🏾‍🤝‍👩🏽,"women holding hands: medium-dark skin tone, medium skin tone",women-holding-hands-medium-dark-skin-tone-medium-skin-tone
U+1F46D U+1F3FE,👭🏾,women holding hands: medium-dark skin tone,women-holding-hands-medium-dark-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F469 U+1F3FF,👩🏾‍🤝‍👩🏿,"women holding hands: medium-dark skin tone, dark skin tone",women-holding-hands-medium-dark-skin-tone-dark-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FB,👩🏿‍🤝‍👩🏻,"women holding hands: dark skin tone, light skin tone",women-holding-hands-dark-skin-tone-light-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FC,👩🏿‍🤝‍👩🏼,"women holding hands: dark skin tone, medium-light skin tone",women-holding-hands-dark-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FD,👩🏿‍🤝‍👩🏽,"women holding hands: dark skin tone, medium skin tone",women-holding-hands-dark-skin-tone-medium-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F469 U+1F3FE,👩🏿‍🤝‍👩🏾,"women holding hands: dark skin tone, medium-dark skin tone",women-holding-hands-dark-skin-tone-medium-dark-skin-tone
U+1F46D U+1F3FF,👭🏿,women holding hands: dark skin tone,women-holding-hands-dark-skin-tone
U+1F46B U+1F3FB,👫🏻,woman and man holding hands: light skin tone,woman-and-man-holding-hands-light-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FC,👩🏻‍🤝‍👨🏼,"woman and man holding hands: light skin tone, medium-light skin tone",woman-and-man-holding-hands-light-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FD,👩🏻‍🤝‍👨🏽,"woman and man holding hands: light skin tone, medium skin tone",woman-and-man-holding-hands-light-skin-tone-medium-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FE,👩🏻‍🤝‍👨🏾,"woman and man holding hands: light skin tone, medium-dark skin tone",woman-and-man-holding-hands-light-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FF,👩🏻‍🤝‍👨🏿,"woman and man holding hands: light skin tone, dark skin tone",woman-and-man-holding-hands-light-skin-tone-dark-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FB,👩🏼‍🤝‍👨🏻,"woman and man holding hands: medium-light skin tone, light skin tone",woman-and-man-holding-hands-medium-light-skin-tone-light-skin-tone
U+1F46B U+1F3FC,👫🏼,woman and man holding hands: medium-light skin tone,woman-and-man-holding-hands-medium-light-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FD,👩🏼‍🤝‍👨🏽,"woman and man holding hands: medium-light skin tone, medium skin tone",woman-and-man-holding-hands-medium-light-skin-tone-medium-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FE,👩🏼‍🤝‍👨🏾,"woman and man holding hands: medium-light skin tone, medium-dark skin tone",woman-and-man-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FF,👩🏼‍🤝‍👨🏿,"woman and man holding hands: medium-light skin tone, dark skin tone",woman-and-man-holding-hands-medium-light-skin-tone-dark-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FB,👩🏽‍🤝‍👨🏻,"woman and man holding hands: medium skin tone, light skin tone",woman-and-man-holding-hands-medium-skin-tone-light-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FC,👩🏽‍🤝‍👨🏼,"woman and man holding hands: medium skin tone, medium-light skin tone",woman-and-man-holding-hands-medium-skin-tone-medium-light-skin-tone
U+1F46B U+1F3FD,👫🏽,woman and man holding hands: medium skin tone,woman-and-man-holding-hands-medium-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FE,👩🏽‍🤝‍👨🏾,"woman and man holding hands: medium skin tone, medium-dark skin tone",woman-and-man-holding-hands-medium-skin-tone-medium-dark-skin-tone
U+1F469 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FF,👩🏽‍🤝‍👨🏿,"woman and man holding hands: medium skin tone, dark skin tone",woman-and-man-holding-hands-medium-skin-tone-dark-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB,👩🏾‍🤝‍👨🏻,"woman and man holding hands: medium-dark skin tone, light skin tone",woman-and-man-holding-hands-medium-dark-skin-tone-light-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC,👩🏾‍🤝‍👨🏼,"woman and man holding hands: medium-dark skin tone, medium-light skin tone",woman-and-man-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD,👩🏾‍🤝‍👨🏽,"woman and man holding hands: medium-dark skin tone, medium skin tone",woman-and-man-holding-hands-medium-dark-skin-tone-medium-skin-tone
U+1F46B U+1F3FE,👫🏾,woman and man holding hands: medium-dark skin tone,woman-and-man-holding-hands-medium-dark-skin-tone
U+1F469 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF,👩🏾‍🤝‍👨🏿,"woman and man holding hands: medium-dark skin tone, dark skin tone",woman-and-man-holding-hands-medium-dark-skin-tone-dark-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FB,👩🏿‍🤝‍👨🏻,"woman and man holding hands: dark skin tone, light skin tone",woman-and-man-holding-hands-dark-skin-tone-light-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FC,👩🏿‍🤝‍👨🏼,"woman and man holding hands: dark skin tone, medium-light skin tone",woman-and-man-holding-hands-dark-skin-tone-medium-light-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FD,👩🏿‍🤝‍👨🏽,"woman and man holding hands: dark skin tone, medium skin tone",woman-and-man-holding-hands-dark-skin-tone-medium-skin-tone
U+1F469 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FE,👩🏿‍🤝‍👨🏾,"woman and man holding hands: dark skin tone, medium-dark skin tone",woman-and-man-holding-hands-dark-skin-tone-medium-dark-skin-tone
U+1F46B U+1F3FF,👫🏿,woman and man holding hands: dark skin tone,woman-and-man-holding-hands-dark-skin-tone
U+1F46C U+1F3FB,👬🏻,men holding hands: light skin tone,men-holding-hands-light-skin-tone
U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FC,👨🏻‍🤝‍👨🏼,"men holding hands: light skin tone, medium-light skin tone",men-holding-hands-light-skin-tone-medium-light-skin-tone
U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FD,👨🏻‍🤝‍👨🏽,"men holding hands: light skin tone, medium skin tone",men-holding-hands-light-skin-tone-medium-skin-tone
U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FE,👨🏻‍🤝‍👨🏾,"men holding hands: light skin tone, medium-dark skin tone",men-holding-hands-light-skin-tone-medium-dark-skin-tone
U+1F468 U+1F3FB U+200D U+1F91D U+200D U+1F468 U+1F3FF,👨🏻‍🤝‍👨🏿,"men holding hands: light skin tone, dark skin tone",men-holding-hands-light-skin-tone-dark-skin-tone
U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FB,👨🏼‍🤝‍👨🏻,"men holding hands: medium-light skin tone, light skin tone",men-holding-hands-medium-light-skin-tone-light-skin-tone
U+1F46C U+1F3FC,👬🏼,men holding hands: medium-light skin tone,men-holding-hands-medium-light-skin-tone
U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FD,👨🏼‍🤝‍👨🏽,"men holding hands: medium-light skin tone, medium skin tone",men-holding-hands-medium-light-skin-tone-medium-skin-tone
U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FE,👨🏼‍🤝‍👨🏾,"men holding hands: medium-light skin tone, medium-dark skin tone",men-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FF,👨🏼‍🤝‍👨🏿,"men holding hands: medium-light skin tone, dark skin tone",men-holding-hands-medium-light-skin-tone-dark-skin-tone
U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FB,👨🏽‍🤝‍👨🏻,"men holding hands: medium skin tone, light skin tone",men-holding-hands-medium-skin-tone-light-skin-tone
U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FC,👨🏽‍🤝‍👨🏼,"men holding hands: medium skin tone, medium-light skin tone",men-holding-hands-medium-skin-tone-medium-light-skin-tone
U+1F46C U+1F3FD,👬🏽,men holding hands: medium skin tone,men-holding-hands-medium-skin-tone
U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FE,👨🏽‍🤝‍👨🏾,"men holding hands: medium skin tone, medium-dark skin tone",men-holding-hands-medium-skin-tone-medium-dark-skin-tone
U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FF,👨🏽‍🤝‍👨🏿,"men holding hands: medium skin tone, dark skin tone",men-holding-hands-medium-skin-tone-dark-skin-tone
U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB,👨🏾‍🤝‍👨🏻,"men holding hands: medium-dark skin tone, light skin tone",men-holding-hands-medium-dark-skin-tone-light-skin-tone
U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC,👨🏾‍🤝‍👨🏼,"men holding hands: medium-dark skin tone, medium-light skin tone",men-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD,👨🏾‍🤝‍👨🏽,"men holding hands: medium-dark skin tone, medium skin tone",men-holding-hands-medium-dark-skin-tone-medium-skin-tone
U+1F46C U+1F3FE,👬🏾,men holding hands: medium-dark skin tone,men-holding-hands-medium-dark-skin-tone
U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF,👨🏾‍🤝‍👨🏿,"men holding hands: medium-dark skin tone, dark skin tone",men-holding-hands-medium-dark-skin-tone-dark-skin-tone
U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FB,👨🏿‍🤝‍👨🏻,"men holding hands: dark skin tone, light skin tone",men-holding-hands-dark-skin-tone-light-skin-tone
U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FC,👨🏿‍🤝‍👨🏼,"men holding hands: dark skin tone, medium-light skin tone",men-holding-hands-dark-skin-tone-medium-light-skin-tone
U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FD,👨🏿‍🤝‍👨🏽,"men holding hands: dark skin tone, medium skin tone",men-holding-hands-dark-skin-tone-medium-skin-tone
U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FE,👨🏿‍🤝‍👨🏾,"men holding hands: dark skin tone, medium-dark skin tone",men-holding-hands-dark-skin-tone-medium-dark-skin-tone
U+1F46C U+1F3FF,👬🏿,men holding hands: dark skin tone,men-holding-hands-dark-skin-tone
U+1F48F U+1F3FB,💏🏻,kiss: light skin tone,kiss-light-skin-tone
U+1F48F U+1F3FC,💏🏼,kiss: medium-light skin tone,kiss-medium-light-skin-tone
U+1F48F U+1F3FD,💏🏽,kiss: medium skin tone,kiss-medium-skin-tone
U+1F48F U+1F3FE,💏🏾,kiss: medium-dark skin tone,kiss-medium-dark-skin-tone
U+1F48F U+1F3FF,💏🏿,kiss: dark skin tone,kiss-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC,🧑🏻‍❤️‍💋‍🧑🏼,"kiss: person, person, light skin tone, medium-light skin tone",kiss-person-person-light-skin-tone-medium-light-skin-tone
U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD,🧑🏻‍❤️‍💋‍🧑🏽,"kiss: person, person, light skin tone, medium skin tone",kiss-person-person-light-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE,🧑🏻‍❤️‍💋‍🧑🏾,"kiss: person, person, light skin tone, medium-dark skin tone",kiss-person-person-light-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FB U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF,🧑🏻‍❤️‍💋‍🧑🏿,"kiss: person, person, light skin tone, dark skin tone",kiss-person-person-light-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB,🧑🏼‍❤️‍💋‍🧑🏻,"kiss: person, person, medium-light skin tone, light skin tone",kiss-person-person-medium-light-skin-tone-light-skin-tone
U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD,🧑🏼‍❤️‍💋‍🧑🏽,"kiss: person, person, medium-light skin tone, medium skin tone",kiss-person-person-medium-light-skin-tone-medium-skin-tone
U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE,🧑🏼‍❤️‍💋‍🧑🏾,"kiss: person, person, medium-light skin tone, medium-dark skin tone",kiss-person-person-medium-light-skin-tone-medium-dark-skin-tone
U+1F9D1 U+1F3FC U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF,🧑🏼‍❤️‍💋‍🧑🏿,"kiss: person, person, medium-light skin tone, dark skin tone",kiss-person-person-medium-light-skin-tone-dark-skin-tone
U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB,🧑🏽‍❤️‍💋‍🧑🏻,"kiss: person, person, medium skin tone, light skin tone",kiss-person-person-medium-skin-tone-light-skin-tone
